source_file,string_address,function_address
"Menu\CMenuGfxComponentTrackMap.cpp",00539028,00059460
"Menu\CMenuGfxComponentTrackMap.cpp",005390a0,00059460
"Menu\CMenuGfxComponentTrackMap.cpp",00539120,00059460
"Menu\CMenuGfxComponentTrackMap.cpp",005391a0,00059460
"Menu\CMenuGfxComponentTrackMap.cpp",00539220,00059460
"Menu\CMenuGfxComponentTrackMap.cpp",005392a0,00059460
"Menu\CMenuGfx.cpp",00527bec,0003fe40
"Menu\CMenuGfx.cpp",00527c4c,0003fe40
"Menu\CMenuGfx.cpp",00527cc0,0003fe40
"Menu\CMenuGfx.cpp",00527d20,00041160
"Menu\CMenuGfx.cpp",00527d88,00041160
"Menu\CMenuGfx.cpp",00527e0c,000419a0
"Menu\CMenuGfx.cpp",00527e80,000419a0
"Menu\CMenuGfx.cpp",00527f00,000419a0
"Menu\CMenuGfx.cpp",00527f60,000419a0
"Menu\CMenuGfx.cpp",00527fd0,000419a0
"Menu\CMenuGfx.cpp",00528040,000419a0
"Menu\CMenuGfx.cpp",0052809c,00041d30
"Menu\CMenuGfx.cpp",005280f8,00041d30
"Menu\CMenuGfx.cpp",00528154,00041d30
"Menu\CMenuManager.cpp",00539f10,0005a7b0
"Menu\CMenuManager.cpp",00539fa0,0005a7b0
"Menu\CMenuManager.cpp",0053a03c,0005a8b0
"Menu\CMenuManager.cpp",0053a0dc,0005a9a0
"Menu\CMenuManager.cpp",0053a16c,0005bb50
"Menu\CMenuManager.cpp",0053a1fc,0005bbc0
"Menu\CMenuManager.cpp",0053a284,0005be90
"Menu\CMenuManager.cpp",0053a304,0005be90
"Menu\CMenuManager.cpp",0053a380,0005be90
"Menu\CMenuManager.cpp",0053a3f8,0005bf30
"Menu\CMenuManager.cpp",0053a46c,0005bf30
"Menu\CMenuManager.cpp",0053a510,0005bf30
"Menu\CMenuManager.cpp",0053a588,0005c0f0
"Menu\CMenuManager.cpp",0053a600,0005c0f0
"Menu\CMenuManager.cpp",0053a6a0,0005c0f0
"Menu\CMenuManager.cpp",0053a75c,0005c0f0
"Menu\CMenuManager.cpp",0053a7dc,0005c0f0
"Menu\CMenuManager.cpp",0053a870,0005c0f0
"Menu\CMenuManager.cpp",0053a8d4,0005c520
"Menu\CMenuManager.cpp",0053a938,0005c520
"Menu\CMenuPageChampionshipSelect.cpp",0053b830,0005ed10
"Menu\CMenuPageCredits.cpp",0053e2f0,000606b0
"Menu\CMenuPageCredits.cpp",0053e370,00060b30
"Menu\CMenuPageCredits.cpp",0053e400,00060b30
"Menu\CMenuPageCredits.cpp",0053e488,00060b30
"Menu\CMenuPageCredits.cpp",0053e508,00060b30
"Menu\CMenuPageCredits.cpp",0053e590,00060b30
"Menu\CMenuPageCredits.cpp",0053e610,00060b30
"Menu\CMenuPageMemoryCardXbox.cpp",005418b8,00063990
"Menu\CMenuPageMemoryCardXbox.cpp",00541968,00064d50
"Menu\CMenuPageMemoryCardXbox.cpp",005419d8,000654f0
"Menu\CMenuPageOutro.cpp",00542d78,000666e0
"Menu\CMenuPagePause.cpp",00543468,00066af0
"Menu\CMenuPagePause.cpp",005434f8,00066af0
"Menu\CMenuPagePause.cpp",00543568,00067f10
"Menu\CMenuPagePause.cpp",005435d8,00067f10
"Menu\CMenuPageRecordsOnline.cpp",00544cc0,00069360
"Menu\CMenuPageRecordsSignOn.cpp",005453a0,0006ad70
"Menu\CMenuPageSettings.cpp",00546ab8,0006cf30
"Menu\CMenuPageSettings.cpp",00546b40,0006cf30
"Menu\CMenuPageSettings.cpp",00546ba8,0006cf30
"Menu\CMenuPageSettings.cpp",00546c30,0006d490
"Menu\CMenuPageSettings.cpp",00546cc0,0006d490
"Menu\CMenuPageSettings.cpp",00546d48,0006d490
"Menu\CMenuPageSettings.cpp",00546dd0,0006d950
"Menu\CMenuPageSettings.cpp",00546e58,0006dab0
"Menu\CMenuResultsScreens.cpp",00548c28,000707c0
"Menu\CMenuResultsScreens.cpp",00548cc0,00070860
"Menu\CMenuResultsScreens.cpp",00548d58,000708e0
"Menu\CMenuResultsScreens.cpp",00548e00,00070970
"Menu\CMenuResultsScreens.cpp",00548e98,000709f0
"Menu\CMenuResultsScreens.cpp",00548f30,00070a70
"Menu\CMenuResultsScreens.cpp",00548fc8,00070af0
"Menu\CMenuResultsScreens.cpp",00549060,00070b70
"Menu\CMenuResultsScreens.cpp",005490e0,00070bf0
"Menu\CMenuResultsScreens.cpp",00549180,00070cd0
